taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
505, 2016-12-26 22:15:00; 600, 0; 925; 20; bankkártya
3588, 2016-12-08 13:30:00; 300, 0; 575; 20; bankkártya
772, 2016-12-06 19:45:00; 21, 0; 325; 0; bankkártya
1827, 2016-12-03 15:45:00; 360, 0; 625; 0; készpénz
451, 2016-12-21 21:00:00; 420, 0; 675; 20; bankkártya
7066, 2016-12-09 23:30:00; 900, 0; 1425; 0; készpénz
5426, 2016-12-08 16:00:00; 2640, 0; 4275; 935; bankkártya
3356, 2016-12-16 22:00:00; 660, 0; 1425; 0; készpénz
414, 2016-12-30 21:15:00; 120, 0; 425; 20; bankkártya
4285, 2016-12-08 14:45:00; 480, 0; 65; 10; bankkártya
8044, 2016-12-07 18:00:00; 60, 0; 5525; 0; készpénz
569, 2016-12-02 17:00:00; 180, 0; 45; 20; bankkártya
6744, 2016-12-21 18:00:00; 1080, 0; 975; 0; készpénz
3360, 2016-12-04 01:00:00; 240, 0; 475; 0; készpénz
4680, 2016-12-18 19:15:00; 480, 0; 675; 0; készpénz
1633, 2016-12-18 11:00:00; 660, 0; 95; 0; készpénz
8117, 2016-12-03 14:45:00; 420, 0; 65; 10; bankkártya
7415, 2016-12-10 18:45:00; 780, 0; 100; 0; készpénz
3799, 2016-12-31 14:15:00; 240, 0; 55; 0; készpénz
7257, 2016-12-19 15:15:00; 840, 0; 925; 0; készpénz
3773, 2016-12-02 16:00:00; 420, 0; 60; 0; készpénz
3163, 2016-12-03 00:45:00; 420, 0; 1025; 0; készpénz
6078, 2016-12-02 17:00:00; 540, 0; 70; 20; bankkártya
7355, 2016-12-13 21:45:00; 300, 0; 575; 0; készpénz
6197, 2016-12-02 13:30:00; 60, 0; 325; 0; készpénz
3040, 2016-12-14 09:15:00; 900, 0; 130; 20; bankkártya
1026, 2016-12-02 15:45:00; 300, 0; 55; 0; készpénz
4872, 2016-12-15 12:30:00; 540, 0; 75; 0; készpénz
788, 2016-12-20 08:45:00; 600, 0; 775; 438; bankkártya
5729, 2016-12-22 14:15:00; 240, 0; 475; 0; készpénz
5796, 2016-12-06 18:45:00; 720, 0; 85; 20; bankkártya
7939, 2016-12-02 04:15:00; 300, 0; 575; 0; készpénz
3649, 2016-12-09 14:30:00; 1020, 0; 1025; 20; bankkártya
2175, 2016-12-13 19:15:00; 840, 0; 875; 0; készpénz
7992, 2016-12-17 22:15:00; 3120, 0; 435; 120; bankkártya
684, 2016-12-31 12:30:00; 240, 0; 50; 10; bankkártya
8648, 2016-12-23 16:15:00; 300, 0; 55; 0; készpénz
4109, 2016-12-30 14:15:00; 540, 0; 85; 20; bankkártya
686, 2016-12-12 23:30:00; 360, 0; 625; 0; készpénz
3865, 2016-12-17 16:45:00; 360, 0; 65; 20; bankkártya
3433, 2016-12-09 18:00:00; 60, 0; 325; 0; készpénz
393, 2016-12-14 15:15:00; 600, 0; 725; 0; készpénz
2653, 2016-12-08 15:00:00; 20, 0; 325; 0; készpénz
3899, 2016-12-23 10:00:00; 1560, 0; 365; 0; készpénz
4675, 2016-12-08 18:30:00; 180, 0; 40; 0; készpénz
4325, 2016-12-27 23:45:00; 420, 0; 70; 20; bankkártya
4877, 2016-12-30 12:45:00; 300, 0; 575; 20; bankkártya
4576, 2016-12-07 00:45:00; 240, 0; 575; 30; bankkártya
3684, 2016-12-21 19:15:00; 480, 0; 70; 0; készpénz
2240, 2016-12-28 14:45:00; 300, 0; 575; 0; készpénz
8636, 2016-12-22 17:30:00; 480, 0; 65; 0; készpénz
1030, 2016-12-19 09:15:00; 480, 0; 675; 10; bankkártya
6094, 2016-12-17 23:15:00; 480, 0; 625; 0; készpénz
4438, 2016-12-09 11:00:00; 540, 0; 775; 0; készpénz
6458, 2016-12-09 11:45:00; 540, 0; 725; 0; készpénz
6775, 2016-12-26 01:15:00; 420, 0; 80; 0; készpénz
547, 2016-12-31 16:00:00; 300, 0; 325; 0; készpénz
1460, 2016-12-24 18:45:00; 300, 0; 525; 10; bankkártya
1691, 2016-12-24 21:15:00; 660, 0; 105; 0; készpénz
505, 2016-12-13 11:30:00; 420, 0; 675; 0; készpénz
6317, 2016-12-16 17:00:00; 840, 0; 875; 0; készpénz
3043, 2016-12-30 17:45:00; 600, 0; 875; 20; bankkártya
3891, 2016-12-15 18:45:00; 240, 0; 525; 0; készpénz
6065, 2016-12-01 02:30:00; 60, 0; 80; 0; bankkártya
